Ann Arbor Skyline Team Results
Date,Meet,Category,Place,Score,URL,HTML
Thu Aug 29 2024,37th Early Bird Open Womens 5000 Meters HS Open 5K,Womens,2,109,https://www.athletic.net/CrossCountry/meet/235827/results/943368,37th_Early_Bird_Open_Womens_5000_Meters_HS_Open_5K_24.html
Thu Aug 29 2024,37th Early Bird Open Mens 5000 Meters HS Open 5K,Mens,7,244,https://www.athletic.net/CrossCountry/meet/235827/results/943367,37th_Early_Bird_Open_Mens_5000_Meters_HS_Open_5K_24.html
Sat Sep 07 2024,Bret Clements Bath Invitational Mens 5000 Meters Class 1,Mens,5,152,https://www.athletic.net/CrossCountry/meet/236875/results/947077,Bret_Clements_Bath_Invitational_Mens_5000_Meters_Class_1_24.html
Sat Sep 07 2024,Bret Clements Bath Invitational Womens 5000 Meters Class 1,Womens,7,220,https://www.athletic.net/CrossCountry/meet/236875/results/947078,Bret_Clements_Bath_Invitational_Womens_5000_Meters_Class_1_24.html
Sat Sep 07 2024,Bret Clements Bath Invitational Womens 5000 Meters J.V.,Womens,7,133,https://www.athletic.net/CrossCountry/meet/236875/results/947086,Bret_Clements_Bath_Invitational_Womens_5000_Meters_J.V._24.html
Sat Sep 07 2024,Bret Clements Bath Invitational Mens 5000 Meters J.V.,Mens,3,90,https://www.athletic.net/CrossCountry/meet/236875/results/947085,Bret_Clements_Bath_Invitational_Mens_5000_Meters_J.V._24.html
Tue Sep 10 2024,SEC Jamboree #1 Mens 5000 Meters Varsity,Mens,12,141,https://www.athletic.net/CrossCountry/meet/238311/results/952326,SEC_Jamboree_#1_Mens_5000_Meters_Varsity_24.html
Tue Sep 10 2024,SEC Jamboree #1 Womens 5000 Meters Junior Varsity,Womens,5,134,https://www.athletic.net/CrossCountry/meet/238311/results/952329,SEC_Jamboree_#1_Womens_5000_Meters_Junior_Varsity_24.html
Tue Sep 10 2024,SEC Jamboree #1 Mens 5000 Meters Junior Varsity,Mens,5,67,https://www.athletic.net/CrossCountry/meet/238311/results/952327,SEC_Jamboree_#1_Mens_5000_Meters_Junior_Varsity_24.html
Tue Sep 10 2024,SEC Jamboree #1 Womens 5000 Meters Varsity,Womens,10,143,https://www.athletic.net/CrossCountry/meet/238311/results/952328,SEC_Jamboree_#1_Womens_5000_Meters_Varsity_24.html
Sat Sep 14 2024,56th Holly-Duane Raffin Festival of Races Womens 5000 Meters D1 JV Girls,Womens,4,65,https://www.athletic.net/CrossCountry/meet/236072/results/944161,56th_Holly-Duane_Raffin_Festival_of_Races_Womens_5000_Meters_D1_JV_Girls_24.html
Sat Sep 14 2024,56th Holly-Duane Raffin Festival of Races Mens 5000 Meters D1 Boys,Mens,13,349,https://www.athletic.net/CrossCountry/meet/236072/results/944167,56th_Holly-Duane_Raffin_Festival_of_Races_Mens_5000_Meters_D1_Boys_24.html
Sat Sep 14 2024,56th Holly-Duane Raffin Festival of Races Womens 5000 Meters D1 Girls,Womens,9,257,https://www.athletic.net/CrossCountry/meet/236072/results/944165,56th_Holly-Duane_Raffin_Festival_of_Races_Womens_5000_Meters_D1_Girls_24.html
Sat Sep 14 2024,56th Holly-Duane Raffin Festival of Races Mens 5000 Meters D1 JV Boys,Mens,4,128,https://www.athletic.net/CrossCountry/meet/236072/results/944163,56th_Holly-Duane_Raffin_Festival_of_Races_Mens_5000_Meters_D1_JV_Boys_24.html
Sat Sep 21 2024,Jackson Invitational Mens 5000 Meters Orange Division (1000 + enrolment),Mens,20,466,https://www.athletic.net/CrossCountry/meet/236877/results/947091,Jackson_Invitational_Mens_5000_Meters_Orange_Division_(1000_+_enrolment)_24.html
Sat Sep 21 2024,Jackson Invitational Womens 5000 Meters Orange Division (1000 + enrolment),Womens,20,516,https://www.athletic.net/CrossCountry/meet/236877/results/947093,Jackson_Invitational_Womens_5000_Meters_Orange_Division_(1000_+_enrolment)_24.html
Tue Sep 24 2024,SEC-HS Jamboree #2 (Red) Womens 5000 Meters Varsity Girls,Womens,5,162,https://www.athletic.net/CrossCountry/meet/238857/results/954244,SEC-HS_Jamboree_#2_(Red)_Womens_5000_Meters_Varsity_Girls_24.html
Tue Sep 24 2024,SEC-HS Jamboree #2 (Red) Mens 5000 Meters Varsity Boys,Mens,4,103,https://www.athletic.net/CrossCountry/meet/238857/results/954243,SEC-HS_Jamboree_#2_(Red)_Mens_5000_Meters_Varsity_Boys_24.html
Tue Sep 24 2024,SEC-HS Jamboree #2 (Red) Mens 5000 Meters Reserve Boys,Mens,2,69,https://www.athletic.net/CrossCountry/meet/238857/results/954245,SEC-HS_Jamboree_#2_(Red)_Mens_5000_Meters_Reserve_Boys_24.html
Tue Sep 24 2024,SEC-HS Jamboree #2 (Red) Womens 5000 Meters Reserve Girls,Womens,2,78,https://www.athletic.net/CrossCountry/meet/238857/results/954246,SEC-HS_Jamboree_#2_(Red)_Womens_5000_Meters_Reserve_Girls_24.html
